Zipcode,Population,Household Income,Per Capita Income,Borough,Crime Rate
10301,38885.0,56848.0,27952.0,Staten Island,Very low
10302,16811.0,56841.0,24198.0,Staten Island,Very low
10303,24537.0,51537.0,22077.0,Staten Island,Very low
10304,43084.0,53168.0,27103.0,Staten Island,Very low
10305,42006.0,70758.0,30172.0,Staten Island,Very low
10306,55902.0,75807.0,34834.0,Staten Island,Very low
10307,14829.0,86457.0,36028.0,Staten Island,Very low
10308,28939.0,88075.0,38275.0,Staten Island,Very low
10309,32646.0,86297.0,35719.0,Staten Island,Very low
10310,25227.0,61925.0,27923.0,Staten Island,Very low
10312,60081.0,85324.0,36128.0,Staten Island,Very low
10314,87276.0,77242.0,32807.0,Staten Island,Very low
11004,14500.0,81709.0,35334.0,Queens,Low
11005,2055.0,64300.0,76670.0,Queens,Low
11101,25537.0,47142.0,30040.0,Queens,Low
11102,34529.0,49924.0,28108.0,Queens,Low
11103,37745.0,55129.0,31345.0,Queens,Low
11104,25729.0,56059.0,31953.0,Queens,Low
11105,36190.0,57525.0,33537.0,Queens,Low
11106,36869.0,48720.0,30809.0,Queens,Low
11354,56258.0,46566.0,23925.0,Queens,Low
11355,83221.0,41884.0,20505.0,Queens,Low
11356,23037.0,58465.0,25815.0,Queens,Low
11357,40872.0,71978.0,34218.0,Queens,Low
11358,38317.0,65722.0,30403.0,Queens,Low
11360,19865.0,76183.0,42810.0,Queens,Low
11361,30597.0,75335.0,32438.0,Queens,Low
11362,17865.0,82332.0,38441.0,Queens,Low
11363,7354.0,90799.0,44661.0,Queens,Low
11364,34751.0,72909.0,33820.0,Queens,Low
11365,41924.0,55492.0,26786.0,Queens,Low
11366,13499.0,71350.0,30027.0,Queens,Low
11367,41022.0,56608.0,26475.0,Queens,Low
11368,107962.0,45964.0,16191.0,Queens,Low
11369,40761.0,53617.0,20000.0,Queens,Low
11370,37244.0,52500.0,17873.0,Queens,Low
11372,63320.0,48683.0,24955.0,Queens,Low
11373,99159.0,47667.0,21084.0,Queens,Low
11374,42297.0,52532.0,34268.0,Queens,Low
11375,69757.0,72000.0,44278.0,Queens,Low
11377,86316.0,49886.0,24058.0,Queens,Low
11378,32268.0,57474.0,28290.0,Queens,Low
11379,35822.0,69843.0,33111.0,Queens,Low
11385,99379.0,50799.0,23272.0,Queens,Low
11411,18722.0,83099.0,32156.0,Queens,Low
11412,37176.0,70672.0,25315.0,Queens,Low
11413,40385.0,78667.0,28502.0,Queens,Low
11414,28094.0,66790.0,34143.0,Queens,Low
11415,19145.0,63549.0,35653.0,Queens,Low
11416,25950.0,56724.0,20726.0,Queens,Low
11417,31004.0,62086.0,24299.0,Queens,Low
11418,36828.0,60691.0,22641.0,Queens,Low
11419,49193.0,56735.0,19296.0,Queens,Low
11420,48449.0,59832.0,22841.0,Queens,Low
11421,42588.0,60897.0,23016.0,Queens,Low
11422,33280.0,84824.0,29440.0,Queens,Low
11423,31625.0,60892.0,26690.0,Queens,Low
11426,19575.0,82301.0,31501.0,Queens,Low
11427,24877.0,70108.0,28716.0,Queens,Low
11428,20307.0,69330.0,24002.0,Queens,Low
11429,28311.0,68890.0,24113.0,Queens,Low
11432,61687.0,50450.0,21897.0,Queens,Low
11433,32821.0,42887.0,19142.0,Queens,Low
11434,62809.0,59229.0,24121.0,Queens,Low
11435,53542.0,53041.0,23252.0,Queens,Low
11436,17636.0,62114.0,23264.0,Queens,Low
11691,61091.0,39409.0,18796.0,Queens,Low
11692,17674.0,43354.0,21603.0,Queens,Low
11693,11335.0,50570.0,25149.0,Queens,Low
11694,21725.0,76944.0,36601.0,Queens,Low
11697,4223.0,87636.0,41282.0,Queens,Low
10001,21966.0,81671.0,82166.0,Manhattan,Very High
10002,82191.0,33218.0,26227.0,Manhattan,Very High
10003,57310.0,92540.0,74189.0,Manhattan,Very High
