,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,mm,day,year,zipcode
4798344,206890441,12/31/2019,268.0,CRIMINAL MIS 2 & 3,121.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,S,120,0.0,18-24,M,BLACK,962822.0,174282.0,40.645022746000045,-74.077216847,12,31,2019,10301
4798353,206887263,12/31/2019,114.0,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,S,120,0.0,18-24,F,WHITE HISPANIC,960040.0,174186.0,40.644752079000064,-74.08724138199995,12,31,2019,10301
4798366,206891087,12/31/2019,750.0,RESISTING ARREST,359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,S,120,0.0,<18,F,WHITE HISPANIC,959954.0,171893.0,40.63845805300008,-74.087543021,12,31,2019,10301
4798369,206890204,12/31/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,121,0.0,45-64,M,WHITE HISPANIC,930664.0,154427.0,40.59038882200008,-74.19293975599999,12,31,2019,10311
4798391,206891619,12/31/2019,750.0,RESISTING ARREST,359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,S,120,0.0,<18,F,WHITE HISPANIC,959954.0,171893.0,40.63845805300008,-74.087543021,12,31,2019,10301
4798398,206885163,12/31/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0.0,25-44,M,WHITE,948390.0,163294.0,40.61481635400003,-74.12916384799998,12,31,2019,10310
4798415,206891617,12/31/2019,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,120,0.0,45-64,F,WHITE,962959.0,168766.0,40.629882837000025,-74.07670576399995,12,31,2019,10301
4798465,206890978,12/31/2019,750.0,RESISTING ARREST,359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,S,120,0.0,18-24,F,BLACK,959954.0,171893.0,40.63845805300008,-74.087543021,12,31,2019,10301
4798482,206889595,12/31/2019,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,S,121,0.0,18-24,M,BLACK,938676.0,153149.0,40.58692579000007,-74.16408371599994,12,31,2019,10314
4798509,206888085,12/31/2019,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510D,F,S,120,0.0,25-44,M,WHITE,962822.0,174282.0,40.645022746000045,-74.077216847,12,31,2019,10301
